time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/n_updates,train/policy_gradient_loss,train/value_loss,rollout/ep_len_mean,train/clip_fraction,train/std,train/learning_rate,rollout/ep_rew_mean,train/clip_range,train/loss,train/explained_variance,train/approx_kl,train/entropy_loss
160,198656,97,1238,480,-0.0030559465987607835,0.009649599809199572,300.0,0.03935546875,0.36729106307029724,0.0002,228.81769074,0.2,-0.007611759006977081,0.5685971975326538,0.0031649184,-25.86447868347168
161,200704,98,1240,485,-0.0032457515597343447,0.0039082884904928505,300.0,0.05859375,0.36728066205978394,0.0002,230.42056707999996,0.2,-0.004789840430021286,0.639748215675354,0.005624376,-25.86595573425293
163,202752,99,1241,490,-0.005430613388307392,0.00554605252109468,300.0,0.07685546875,0.3672654628753662,0.0002,230.75123558999996,0.2,-0.01165895164012909,0.5575305223464966,0.008681223,-25.862406253814697
164,204800,100,1243,495,-0.0042797233909368515,0.008771617454476655,300.0,0.04140625,0.36716246604919434,0.0002,231.32239646,0.2,-0.0025196224451065063,0.5766463875770569,0.0052495277,-25.85442981719971
166,206848,101,1244,500,-0.0034419423434883358,0.010957026714459061,300.0,0.0341796875,0.3671092391014099,0.0002,231.57764295999996,0.2,-0.0028368625789880753,0.6403968334197998,0.0050132014,-25.836822414398192
167,208896,102,1244,505,-0.0036934964824467897,0.010870846221223474,300.0,0.04619140625,0.36706286668777466,0.0002,230.20511574,0.2,0.0013114120811223984,0.65330970287323,0.006800422,-25.831898784637453
169,210944,103,1244,510,-0.003839894477277994,0.009968000557273626,300.0,0.06484375,0.36696457862854004,0.0002,230.20511574,0.2,-0.003082644660025835,0.6202762722969055,0.005142385,-25.818615913391113
171,212992,104,1245,515,-0.001431312714703381,0.004753235960379243,300.0,0.03876953125,0.36688342690467834,0.0002,231.0217458,0.2,-0.0045509375631809235,0.5304890871047974,0.0056359237,-25.80345516204834
172,215040,105,1246,520,-0.0030417070840485392,0.007263881247490644,300.0,0.0447265625,0.36680203676223755,0.0002,230.10746514999994,0.2,0.0023375193122774363,0.6357358694076538,0.0047977665,-25.789552879333495
174,217088,106,1247,525,-0.005517535470426082,0.005135256354697049,300.0,0.05302734375,0.3667425215244293,0.0002,229.99362787,0.2,-0.003720121458172798,0.5925936698913574,0.007145592,-25.777397537231444
175,219136,107,1247,530,-0.003272324614226818,0.006079720612615347,300.0,0.07978515625,0.36666783690452576,0.0002,230.58981756,0.2,0.006964400410652161,0.4702649712562561,0.009444596,-25.765872287750245
177,221184,108,1248,535,-0.0012404728680849076,0.005822872114367783,300.0,0.07529296875,0.3665506839752197,0.0002,230.34035717000003,0.2,0.00440945103764534,0.593776524066925,0.004338441,-25.75111083984375
178,223232,109,1249,540,-0.004912049334961921,0.007047242322005332,300.0,0.07646484375,0.3665279150009155,0.0002,231.11082354,0.2,-0.0022972554434090853,0.5799746513366699,0.008884394,-25.73572473526001
180,225280,110,1250,545,-0.002838438446633518,0.009752711094915868,300.0,0.04111328125,0.3666103780269623,0.0002,231.11082354,0.2,0.0034132772125303745,0.4303462505340576,0.0038737757,-25.742598819732667
181,227328,111,1250,550,-0.004690431617200374,0.008083295030519366,300.0,0.04111328125,0.36649027466773987,0.0002,230.50190476000003,0.2,-0.012016130611300468,0.5699176788330078,0.0050727082,-25.74314680099487
183,229376,112,1251,555,-0.0025817062938585877,0.008363269432447851,300.0,0.06396484375,0.3663593530654907,0.0002,231.11924130000003,0.2,-0.0029464573599398136,0.6551598310470581,0.009556575,-25.71772708892822
184,231424,113,1251,560,-0.005402578017674386,0.007008516322821378,300.0,0.0966796875,0.3663319945335388,0.0002,231.08582408999996,0.2,-0.00042817648500204086,0.6256457567214966,0.012441108,-25.703430366516113
186,233472,114,1252,565,-0.00417476452421397,0.007386915362440049,300.0,0.052734375,0.366325318813324,0.0002,231.18784962000007,0.2,-0.004851945210248232,0.6530194878578186,0.0029149011,-25.702017974853515
187,235520,115,1252,570,-0.005163812264800072,0.008192648645490408,300.0,0.04345703125,0.36624300479888916,0.0002,230.68542169000003,0.2,-0.009231967851519585,0.6239075660705566,0.0056780083,-25.6965030670166
189,237568,116,1253,575,-0.0031452182563953103,0.0069663860136643056,300.0,0.04951171875,0.3662237524986267,0.0002,230.68542169000003,0.2,0.005564448889344931,0.6633120775222778,0.0067140763,-25.684181785583498
191,239616,117,1254,580,-0.005154334101825952,0.007885052124038339,300.0,0.053125,0.3662418723106384,0.0002,232.41031936,0.2,0.004308601841330528,0.5544713139533997,0.005762089,-25.686023902893066
192,241664,118,1254,585,-0.003834505612030625,0.006215288629755377,300.0,0.015625,0.36620354652404785,0.0002,233.03723463999998,0.2,-0.0036029170732945204,0.6532321572303772,0.00296184,-25.685027599334717
194,243712,119,1255,590,-0.003912539547309279,0.0056827254593372345,300.0,0.06689453125,0.36613139510154724,0.0002,233.05228258,0.2,-0.0033583620097488165,0.5678117871284485,0.0067862063,-25.67539758682251
195,245760,120,1256,595,-0.0017616492230445146,0.006810056115500629,300.0,0.047265625,0.3660871386528015,0.0002,232.44627067000002,0.2,-0.007256572600454092,0.5578274726867676,0.0065311147,-25.66421995162964
197,247808,121,1256,600,-0.00386049416847527,0.0058802584884688255,300.0,0.04130859375,0.36611855030059814,0.0002,231.80756514,0.2,-0.005940118804574013,0.5426375865936279,0.008141361,-25.66232261657715
198,249856,122,1257,605,-0.0013361512450501324,0.0059366608038544655,300.0,0.08359375,0.36609286069869995,0.0002,231.84651487,0.2,-0.013029121793806553,0.5453896522521973,0.0097322175,-25.665127182006835
200,251904,123,1257,610,-0.0008977892575785518,0.004973501572385431,300.0,0.1685546875,0.3660167455673218,0.0002,231.84651487,0.2,-0.004021763801574707,0.49571043252944946,0.014417287,-25.654889583587646
201,253952,124,1257,615,-0.00171708045527339,0.005499983229674399,300.0,0.0734375,0.366007000207901,0.0002,231.94758561000003,0.2,-0.004852763377130032,0.5626957416534424,0.005093362,-25.646717643737794
203,256000,125,1257,620,-0.0009064855519682169,0.007382353418506682,300.0,0.13974609375,0.36599141359329224,0.0002,232.16743668999996,0.2,0.003261938225477934,0.5461341142654419,0.019922402,-25.64564275741577
205,258048,126,1257,625,-0.002233823644928634,0.006367602339014411,300.0,0.11982421875,0.3660145699977875,0.0002,232.14488966000002,0.2,-0.007817577570676804,0.5566208362579346,0.008366359,-25.645243167877197
206,260096,127,1256,630,-0.002071529091335833,0.007644310500472784,300.0,0.06591796875,0.36606457829475403,0.0002,230.80349281000002,0.2,-0.008188476786017418,0.5730468034744263,0.0050113793,-25.6513352394104
208,262144,128,1254,635,-0.005123978154733777,0.010596919246017933,300.0,0.0716796875,0.36608022451400757,0.0002,229.91952844999997,0.2,-0.00959225557744503,0.5844922065734863,0.008984382,-25.657721042633057
